GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nio-fs-smb,no.maddin.niofs.smb,SMBByteChannel,62,0,2,0,18,0,10,0,9,0
nio-fs-smb,no.maddin.niofs.smb,SMBShare,30,0,0,0,15,0,13,0,13,0
nio-fs-smb,no.maddin.niofs.smb,SMBDirectoryStream,118,0,10,0,24,0,9,0,4,0
nio-fs-smb,no.maddin.niofs.smb,SMBPath,269,0,18,0,53,0,22,0,13,0
nio-fs-smb,no.maddin.niofs.smb,SMBFileAttributes,36,0,4,0,12,0,12,0,10,0
nio-fs-smb,no.maddin.niofs.smb,SMBFileSystemProvider,275,0,34,0,55,0,39,0,22,0
nio-fs-smb,no.maddin.niofs.smb,SMBBasePath,200,0,12,0,49,0,36,0,30,0
