GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nio-fs-sftp,no.maddin.niofs.sftp,SFTPPath,222,67,13,3,45,15,33,6,26,5
nio-fs-sftp,no.maddin.niofs.sftp,SFTPHost,43,38,3,1,17,14,15,4,13,4
nio-fs-sftp,no.maddin.niofs.sftp,SFTPUserInfo,18,0,0,0,9,0,7,0,7,0
nio-fs-sftp,no.maddin.niofs.sftp,SFTPFileSystemProvider,186,99,11,5,48,23,21,7,14,6
